actividad_detalle,actividad_sector_letra,actividad_sector_detalle,anio,valor_precios_corrientes,valor_precios_constantes
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2016,331460.5484,23575.3997
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2016,151576.5054,8098.1685
Productores de Servicios,M,Enseñanza,2016,138399.5540,8592.5040
Productores de Servicios,N,Servicios sociales y de salud,2016,137660.7534,6969.9256
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2016,61295.8429,4570.3360
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2016,24480.6621,1721.8301
Impuestos,,IVA y otros impuestos a los productos,2016,461439.8423,43909.1174
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2017,178662.9636,19616.4756
Productores de Bienes,B,Pesca y servicios conexos,2017,5286.6091,491.2595
Productores de Bienes,C,Explotación de minas y canteras,2017,5362.9198,601.1107
Productores de Bienes,D,Industria Manufacturera,2017,634330.6536,62704.5473
Productores de Bienes,E,"Electricidad, gas y agua",2017,74725.4987,3830.5833
Productores de Bienes,F,Construcción,2017,178074.4718,9061.7984
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2017,488022.1871,33741.9727
Productores de Servicios,H,Servicios de hotelería y restaurantes,2017,59637.9811,2898.0308
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2017,221350.8162,21892.0611
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2017,94399.0255,4860.0884
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2017,446847.1769,24187.8653
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2017,181201.8614,8158.3971
Productores de Servicios,M,Enseñanza,2017,177516.5987,8656.4169
Productores de Servicios,N,Servicios sociales y de salud,2017,181448.5581,7145.8537
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2017,78603.5995,4554.6905
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2017,31675.6492,1694.3073
Impuestos,,IVA y otros impuestos a los productos,2017,590859.5009,45856.2087
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2018,235096.2845,8111.2442
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2018,258534.9853,17019.1313
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2018,703280.1422,31927.6397
Productores de Bienes,F,Construcción,2018,223777.3413,9000.1048
Productores de Bienes,E,"Electricidad, gas y agua",2018,157517.9129,3806.1807
Productores de Servicios,M,Enseñanza,2018,236307.6093,8771.0612
Productores de Bienes,C,Explotación de minas y canteras,2018,8131.2764,663.0918
Productores de Bienes,D,Industria Manufacturera,2018,920011.6922,58364.5637
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2018,114944.4331,5043.0457
Impuestos,,IVA y otros impuestos a los productos,2018,807809.3120,43541.1167
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2018,104058.0868,4764.9637
Productores de Bienes,B,Pesca y servicios conexos,2018,9320.5355,457.3431
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2018,320935.2969,21266.7410
Productores de Servicios,H,Servicios de hotelería y restaurantes,2018,76999.7912,2895.5451
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2018,41495.2073,1728.5665
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2018,628368.9586,24553.4843
Productores de Servicios,N,Servicios sociales y de salud,2018,248791.9076,7278.9881
Productores de Servicios,,IVA y otros impuestos a los productos,2019,1253257.3970,41985.7193
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura ",2019,465665.0717,21182.7916
Productores de Servicios,B,Pesca y servicios conexos ,2019,15173.6777,478.8501
Productores de Bienes,C,Explotación de minas y canteras ,2019,11550.0797,650.6061
Productores de Bienes,D,Industria Manufacturera ,2019,1360488.2940,54089.3459
Productores de Servicios,E,"Electricidad, gas y agua ",2019,254677.8833,3701.7945
Productores de Bienes,F,Construcción ,2019,312951.9464,8576.2440
Productores de Bienes,G,"Comercio al por mayor, al por menor, reparaciones ",2019,1052262.8236,30773.8821
Productores de Servicios,H,Servicios de hotelería y restaurantes ,2019,108806.2505,2849.7384
Impuestos,I,"Servicio de transporte, de almacenamiento y de comunicaciones ",2019,487688.3751,20945.4856
Productores de Servicios,J,Intermediación financiera y otros servicios financieros ,2019,155969.4261,4426.5059
Productores de Bienes,K,"Servicios inmobiliarios, empresariales y de alquiler ",2019,856050.4998,24623.9150
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria ",2019,344486.7553,8004.4253
Productores de Servicios,M,Enseñanza ,2019,342015.4238,8574.9029
Productores de Servicios,N,Servicios sociales y de salud ,2019,357969.8919,7322.5207
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales ",2019,148063.8192,4679.5310
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico ,2019,60234.6984,1832.8808
Productores de Servicios,,IVA y otros impuestos a los productos,2020,1616445.0745,37707.1935
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura ",2020,729815.4162,19566.7899
Productores de Servicios,B,Pesca y servicios conexos ,2020,25124.5999,554.6787
Productores de Bienes,C,Explotación de minas y canteras ,2020,13399.5344,522.3778
Productores de Bienes,D,Industria Manufacturera ,2020,1787820.4861,48668.3792
Productores de Servicios,E,"Electricidad, gas y agua ",2020,272501.3701,3751.5612
